X,Y
395.9084755,1881.34554
526.5725091,882.8905116
697.92484,1027.401777
322.6774417,470.364808
297.7231002,530.3460589
327.5935892,509.0790357
257.6281889,511.0984121
574.7563845,899.7177572
544.3018429,880.6923821
258.5025841,490.2816878
714.5343347,975.5024069
404.563091,1876.349113
373.3827335,1880.841389
404.9051447,1878.25614
533.627439,908.2685086
733.8897889,979.8244185
550.0129247,854.2933137
392.8238122,517.0821783
720.2757403,1037.017735
404.1748408,476.5189305
716.3150722,1033.18821
725.419723,1026.328939
712.6820453,1017.425618
429.4733476,1877.959766
580.5376327,882.9690804
464.0342785,1864.658949
348.9694103,526.0087904
712.9968168,1084.924375
443.1509243,1879.401858
721.7180038,908.4571434
565.0886938,930.2341173
412.7280732,1864.727681
394.7798945,483.4080067
608.7035643,809.2177694
598.0040507,853.2863018
420.6068675,1885.458308
353.549569,534.7367573
529.6781874,838.4681943
485.4293969,1872.516432
355.6288282,477.3223884
451.0149312,1872.935811
412.4646038,1887.133924
716.1303457,985.9075194
250.5765819,496.0433059
626.2334424,871.7662661
449.1997039,1884.496547
703.7823178,1001.33123
414.9953553,1882.514551
602.892251,892.1913106
744.0765725,1040.420811
694.3455535,968.1044548
380.9492905,485.0849105
215.4250509,526.2562582
728.3524186,1011.921214
580.7145382,855.7594151
558.0261227,886.9706121
548.5577539,1885.365629
403.9737285,1884.413188
311.8073986,480.9790101
508.6925736,838.5627706
742.7998312,964.8271444
377.5616213,1900.048457
440.2764069,1870.935396
427.047803,1904.38267
708.3968122,1034.125767
296.9540498,545.5430592
617.4899372,888.6511235
727.8330338,1037.455064
514.6483282,873.2750527
407.2670288,474.3576916
275.4785379,504.5653498
711.696252,950.5317113
734.0269115,959.0528082
339.8528563,503.8582337
724.5660084,1014.651469
303.7085469,509.3913553
567.7087318,840.2817711
421.9711035,1880.740623
256.2777288,486.2214038
328.1037431,514.9888753
283.3642906,507.4760984
734.8830474,941.1056807
718.9104733,1008.717611
718.3014136,1053.132313
595.9043137,907.6011381
572.6902929,944.3313213
383.4986966,525.1233496
360.3637898,1891.242027
575.2171658,857.6486402
382.3560514,496.2075233
581.35324,865.9761355
392.8756404,1866.520087
552.9282333,875.8150132
535.2376796,876.7756697
275.6101436,515.2062747
609.540186,890.8151144
554.76368,850.5493281
728.2698845,939.6389634
708.3468285,1023.51548
581.5548498,838.7930634
722.1403841,1054.682972
705.6397914,975.0114453
376.8049374,490.2705663
699.718453,1091.714739
385.4987081,1875.329461
706.0262767,996.3884015
548.3451168,870.9847486
417.1241909,1895.681505
378.8463878,1892.515713
548.0970848,857.4839685
287.5996142,526.3962742
730.5789734,935.3317997
610.2378401,858.7179783
713.9541418,957.5527871
571.6858365,825.3486903
724.1965638,982.2334509
385.5393438,1873.003431
599.204115,895.8459904
394.3520427,464.0862282
371.7576314,513.1867476
385.0200135,1859.717846
298.0119714,1884.468219
711.1794602,1080.095774
722.9346725,988.5055747
455.9313389,1873.911407
720.2346157,1022.925327
375.8609373,475.3093771
723.2777846,975.9216417
323.2370849,554.0781892
559.3407632,926.0687589
289.5352888,591.095288
419.9229482,1871.51577
331.6198385,495.9609236
724.2661851,1069.102437
740.7181594,1059.694238
420.0274903,1858.875806
550.3090157,837.2918817
329.9755533,502.3574798
302.5113996,483.6151892
631.9685573,872.8333981
412.3114486,1875.503618
437.9024538,1866.487442
726.8750583,993.310487
391.7746444,1878.137706
539.9732146,879.0530868
577.0911041,901.3092441
716.6666407,944.5314025
376.9776606,1886.930167
533.6370661,913.7030275
339.9689322,492.8899864
710.8851343,1044.247151
347.9233387,529.9478911
436.0187816,1873.825156
719.5720268,1056.220804
717.1508878,979.4890119
559.2412563,906.7802977
403.4340535,512.0091117
730.5471334,1007.615133
567.103057,831.1532183
426.07907,1871.62493
742.0955182,1036.757306
429.7349476,1887.271501
417.580088,1874.988532
702.2279147,945.9564409
369.6883345,535.0760298
424.9753295,1868.353186
605.0430515,874.597802
419.3874416,489.9370317
294.9493946,535.9706279
691.4646558,1025.507009
285.5444948,478.2119146
476.1326937,1866.736248
585.7050209,864.0876797
388.8313805,1883.034834
711.9155158,989.0735293
734.3953366,1002.539399
575.4810206,840.2302614
620.9514492,849.3297565
369.1896477,515.6371581
720.0760998,1010.560436
582.0773907,855.2784727
597.3456911,843.9766359
695.2260541,973.8295415
569.444241,844.3033852
709.8725346,995.0796403
442.1538571,1890.185382
467.460594,1870.158642
538.3674415,898.2750779
728.4002293,988.4675257
558.9750628,872.2271507
599.1303404,834.1427828
469.7986868,1881.357364
442.8987431,1881.163279
329.8704211,490.9222021
721.0109289,1045.045879
480.3466996,1889.555288
601.833187,914.1374306
